"id","class_id","class_date","start","end","allowed","minimum_students","cancel_class_before_due_to_min_student_hour","cancel_class_before_due_to_min_student_minute","repeat","session_timings","booking_start","booking_start_minute","booking_end","booking_end_minute","cancel_start","cancel_start_minute","cancel_end","cancel_end_minute","attendace_before_hour","attendace_before_minute","attendace_after_hour","attendace_after_minute","session_end_date","choose_period","week_days","month_days","status","updated_at","created_at"
"85","90","2023-03-01 00:00:00",NULL,NULL,"15",NULL,NULL,NULL,"0","{""1"":{""start"":[""22:00""],""status"":[""1""],""end"":[""23:00""]},""0"":{""start"":[""12:00""],""status"":[""1""],""end"":[""13:00""]}}","100","0","0","15","100","0","0","15","1","0","0","15","2023-12-30 00:00:00",NULL,"[""1"",""0""]",NULL,NULL,"2023-10-05 16:56:48","2023-03-29 13:44:48"
"88","92","2023-04-27 00:00:00",NULL,NULL,"20",NULL,NULL,NULL,"0","{""1"":{""start"":[""18:00"",""19:00""],""end"":[""19:00"",""20:00""]},""3"":{""start"":[""18:00"",""19:00""],""end"":[""19:00"",""20:00""]}}","120","0","0","15","120","0","0","15","120","0","0","15","2023-12-31 00:00:00",NULL,"[""1"",""3""]",NULL,"a","2023-04-27 14:21:24","2023-04-27 14:21:24"
"89","93","2023-05-01 00:00:00",NULL,NULL,"40",NULL,NULL,NULL,"0","{""1"":{""start"":[""11:00"",""14:00"",""19:00""],""status"":[""1""],""end"":[""12:30"",""15:15"",""20:30""]},""2"":{""start"":[""11:00"",""18:30""],""status"":[""1""],""end"":[""12:30"",""19:45""]},""3"":{""start"":[""11:00"",""14:00"",""19:00""],""status"":[""1""],""end"":[""12:30"",""15:15"",""20:30""]},""4"":{""start"":[""11:00"",""18:30""],""status"":[""1""],""end"":[""12:30"",""19:45""]},""5"":{""start"":[""19:00""],""end"":[""20:00""]}}","200","15","0","15","200","15",NULL,NULL,"200","15",NULL,NULL,"2024-12-31 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5""]",NULL,NULL,"2024-08-04 17:57:21","2023-05-07 20:04:37"
"92","98","2023-05-22 00:00:00",NULL,NULL,"30",NULL,NULL,NULL,"0","{""1"":{""start"":[""10:00""],""end"":[""12:00""]}}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-12-31 00:00:00",NULL,"[""1""]",NULL,"a","2023-05-22 10:28:55","2023-05-22 10:28:55"
"93","99","2023-06-01 00:00:00",NULL,NULL,"20",NULL,NULL,NULL,"0","{""1"":{""start"":[""10:00""],""status"":[""1""],""end"":[""12:00""]},""3"":{""start"":[""10:00""],""status"":[""1""],""end"":[""12:00""]},""5"":{""start"":[""10:00""],""status"":[""1""],""end"":[""12:00""]}}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-07-02 00:00:00",NULL,"[""1"",""3"",""5""]",NULL,NULL,"2023-06-10 18:31:29","2023-06-10 18:30:18"
"94","100","2023-08-19 00:00:00",NULL,NULL,"60",NULL,NULL,NULL,"0","{""5"":{""start"":[""11:30""],""status"":[""1""],""end"":[""13:30""]},""6"":{""start"":[""12:00""],""status"":[""1""],""end"":[""14:00""]},""0"":{""start"":[""12:00""],""status"":[""1""],""end"":[""14:00""]}}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-08-20 00:00:00",NULL,"[""6"",""0""]",NULL,NULL,"2023-07-26 07:43:45","2023-06-18 11:17:25"
"96","102","2023-06-19 00:00:00",NULL,NULL,"20","5","48","0","0","{""1"":{""start"":[""10:00"",""20:00""],""status"":[""1"",""1""],""end"":[""11:00"",""21:00""]},""2"":{""start"":[""10:00"",""20:00""],""status"":[""1"",""1""],""end"":[""11:00"",""21:00""]},""3"":{""start"":[""10:00"",""20:00""],""status"":[""1"",""1""],""end"":[""11:00"",""21:00""]},""4"":{""start"":[""10:00"",""20:00""],""status"":[""1"",""1""],""end"":[""11:00"",""21:00""]},""5"":{""start"":[""10:00"",""20:00""],""status"":[""1"",""1""],""end"":[""11:00"",""21:00""]}}","100","0","0","15","100","0","0","50","100","0","0","15","2023-12-30 00:00:00",NULL,"[""1"",""2"",""3"",""4"",""5""]",NULL,NULL,"2023-10-02 14:21:02","2023-06-20 08:44:51"
"97","104","2023-06-01 00:00:00",NULL,NULL,"40",NULL,NULL,NULL,"0","{""1"":{""start"":[""10:00"",""15:30"",""19:30""],""end"":[""12:00"",""17:30"",""21:30""]},""2"":{""start"":[""10:00"",""15:30"",""19:30""],""end"":[""12:00"",""17:30"",""21:30""]},""4"":{""start"":[""10:00"",""15:30"",""19:30""],""end"":[""12:00"",""17:30"",""21:30""]},""6"":{""start"":[""11:45""],""end"":[""13:00""]}}","200","0","0","1","200","0","0","1","1","0","0","15","2023-12-31 00:00:00",NULL,"[""1"",""2"",""4"",""6""]",NULL,"a","2023-06-24 09:15:21","2023-06-24 09:15:21"
"98","105","2023-06-01 00:00:00",NULL,NULL,"40",NULL,NULL,NULL,"0","{""1"":{""start"":[""17:30""],""status"":[""1""],""end"":[""18:30""]},""3"":{""start"":[""17:30""],""status"":[""1""],""end"":[""18:30""]},""5"":{""start"":[""15:30"",""17:30""],""end"":[""17:30"",""18:30""]}}","200","0","0","1","200","0","0","1","1","0","0","15","2023-12-31 00:00:00",NULL,"[""1"",""3"",""5""]",NULL,NULL,"2023-06-24 09:31:33","2023-06-24 09:18:33"
"99","106","2023-06-01 00:00:00",NULL,NULL,"40",NULL,NULL,NULL,"0","{""3"":{""start"":[""15:30"",""19:30""],""end"":[""17:39"",""21:30""]},""5"":{""start"":[""10:00"",""18:30""],""end"":[""12:00"",""20:30""]}}","200","0","0","1","200","0","0","1","1","0","0","15","2023-12-31 00:00:00",NULL,"[""3"",""5""]",NULL,"a","2023-06-24 09:21:22","2023-06-24 09:21:22"
